job_id,search_term_id
5840324082,2
5840324089,2
5840324100,2
5835920078,2
5829131501,2
5823507727,2
5818756002,2
5818755973,2
5840658196,2
5812354048,2
5829374055,2
5837169823,2
5840637955,2
5837507055,2
5818222177,2
5838624947,2
5848192542,2
5819806247,2
5817690833,2
5847344242,2
5840332917,2
5845200532,2
5840288188,2
5838678328,2
5829393076,2
5812149921,2
5838674911,2
5840648792,2
5837119381,2
5841480237,2
5837583637,2
5737508609,2
5845316773,2
5786752438,2
5679132312,2
5780350523,2
5738736752,2
5835867417,2
5835868209,2
5810959119,2
5835685712,2
5810846111,2
5810846267,2
5832278871,2
5820158303,2
5840340878,2
5840293769,2
5835685638,2
5835870267,2
5835870270,2
5835798575,2
5835870322,2
5832205557,2
5837120909,2
5842061015,2
5840635609,2
5840362421,2
5840362130,2
5840524555,2
5840293775,2
5819756172,2
5835868165,2
5846675680,2
5822589021,2
5811535637,2
5836824788,2
5835516772,2
5835929587,2
5840374941,2
5820418826,2
5837138213,2
5827663653,2
5845203266,2
5820422952,2
5847339346,2
5822581090,2
5832268378,2
5837115210,2
5800473760,2
5837031375,2
5822594087,2
5819014767,2
5818783088,2
5841742006,2
5822628736,2
5803783833,2
5826723271,2
5791368737,2
5814132404,2
5814622826,2
5804909149,2
5732351949,2
5795616991,2
5831200000,2
5840391076,2
5846680046,2
5838679575,2
5773388931,2
5840201257,2
5817732432,2
5802434283,2
5808583587,2
5840200692,2
5817554133,2
5845483910,2
5210489672,2
5210480071,2
5822552201,2
4094618894,2
5843030152,2
5839363351,2
5827393142,2
5847331161,2
5840389923,2
5821386591,2
5841744754,2
5840202137,2
5779215744,2
5817419816,2
5788129967,2
5840912117,2
5848122036,2
5821314442,2
5210480065,2
5847071460,1
5827031194,1
5842064165,1
5846706330,1
5830781344,1
5812613743,1
5829818220,1
5829062971,1
5829404077,1
5812983061,1
5780349070,1
5830781376,1
5809173720,1
5831513487,1
5762591808,1
5761908692,1
5820085655,1
5846432652,1
5780350524,1
5816031497,1
5845658880,1
5806149028,1
5663621960,1
5848067833,1
5829374442,1
5810688125,1
5804865336,1
5761909402,1
5843030453,1
5815905845,1
5830016892,1
5840238202,1
5839572817,1
5816502339,1
5816506157,1
5845256502,1
5846995508,1
5821149999,1
5798899245,1
5840649326,1
5846680046,1
5818755973,1
5841480237,1
4802504178,1
5828022695,1
5814132404,1
5814622826,1
5808583587,1
5810854415,1
5773388931,1
5750379625,1
5814771693,1
5801190165,1
5814227787,1
5815536413,1
5829608909,1
5812202801,1
5837896879,3
5842846525,3
5842554855,3
5842137733,3
5840649681,3
5733922323,3
5814247181,3
5119755250,3
5838618941,3
5794246559,3
5754568464,3
5840202780,3
5847255298,3
5816504342,3
5848355138,3
5820010856,3
5295888922,3
5794239463,3
5840373758,3
5847611035,3
5829160055,3
5848189150,3
5829875602,3
5820418172,3
5210489846,3
5828200269,3
5840425879,3
5795619343,3
5681248876,3
5840381513,3
5840412832,3
5840397029,3
5840649690,3
5829370337,3
5732353759,3
5758763475,3
5830786307,3
5804894172,3
5735101731,3
5210489271,3
5810846101,3
5822581619,3
5830850030,3
5815354538,3
5848189038,3
5819015804,3
5840394547,3
5750767648,3
5842566104,3
5724380833,3
5830296077,3
5840355710,3
5820898710,3
5837115019,3
5210480123,3
5839219932,3
5841082482,3
5846680046,3
5845030698,3
5838262200,3
5828022695,3
5840633404,3
5804909149,3
5722108582,3
5825728077,3
5826374822,3
5826385747,3
5826382028,3
5814132404,3
5814622826,3
5829818220,3
5810774136,3
5820419253,3
5821727302,3
5829136347,3
5210480071,3
5837377002,3
