job_id,capability_id
5829131501,9
5818755973,9
5812354048,9
5840637955,9
5840637955,6
5819806247,2
5817690833,9
5838678328,5
5838674911,9
5838674911,1
5838674911,8
5841480237,2
5841480237,9
5841480237,6
5845316773,9
5835867417,1
5835867417,6
5835867417,3
5835868209,1
5835868209,6
5835868209,3
5810959119,1
5810846111,9
5810846111,1
5810846267,2
5832278871,2
5837120909,9
5840635609,9
5840635609,6
5840362421,4
5840362130,4
5840524555,1
5819756172,1
5835868165,2
5846675680,2
5846675680,1
5846675680,5
5811535637,1
5840374941,9
5837138213,4
5845203266,9
5832268378,9
5837115210,9
5800473760,9
5837031375,2
5837031375,9
5837031375,4
5822594087,2
5822594087,9
5818783088,9
5818783088,1
5803783833,9
5803783833,1
5826723271,9
5826723271,1
5826723271,8
5814132404,9
5814622826,9
5804909149,9
5732351949,2
5732351949,9
5846680046,9
5846680046,1
5838679575,9
5838679575,1
5838679575,8
5840201257,2
5840200692,1
5817554133,2
5817554133,9
5210480071,1
5822552201,9
5822552201,3
5822552201,8
5843030152,1
5839363351,5
5827393142,2
5827393142,1
5847331161,4
5841744754,1
5841744754,6
5779215744,9
5779215744,1
5848122036,9
5821314442,1
5210480065,1
5847071460,9
5847071460,7
5842064165,5
5809173720,2
5809173720,9
5820085655,9
5845658880,9
5845658880,1
5848067833,2
5848067833,9
5829374442,9
5804865336,9
5815905845,9
5830016892,9
5846995508,9
5821149999,9
5798899245,9
5798899245,1
5840649326,9
5840649326,5
5814227787,1
5837896879,9
5842846525,9
5842846525,5
5842554855,2
5842554855,9
5842137733,9
5840649681,9
5733922323,9
5814247181,2
5814247181,1
5119755250,9
5838618941,9
5794246559,9
5754568464,9
5840202780,9
5847255298,9
5816504342,9
5820010856,9
5295888922,9
5794239463,9
5794239463,1
5794239463,8
5840373758,9
5848189150,9
5829875602,9
5820418172,9
5210489846,9
5828200269,9
5840425879,9
5681248876,9
5840381513,2
5840381513,9
5840412832,2
5840412832,9
5840397029,2
5840397029,9
5829370337,9
5758763475,9
5830786307,9
5804894172,9
5735101731,9
5735101731,1
5210489271,9
5810846101,9
5810846101,1
5822581619,9
5815354538,9
5848189038,9
5819015804,9
5840394547,9
5842566104,9
5724380833,9
5724380833,1
5830296077,9
5837115019,2
5837115019,9
5839219932,9
5841082482,9
5845030698,9
5838262200,9
5838262200,1
5722108582,9
5825728077,9
5825728077,1
5825728077,5
5826374822,9
5826385747,9
5826382028,9
5820419253,9
5821727302,9
5829136347,5
