job_id,title,company,location,job_family,seniority,created,salary_min,salary_max,salary_midpoint,salary_is_predicted,salary_source,salary_band,geo_scope,contract_type,contract_time,created_date
5840324082,Lead Data Analyst/Project Controller,BAE Systems,"Padiham, Burnley",Data Analyst,Lead / Principal,2026-08-13 15:06:21,53889.32,53889.32,53889.32,1,Adzuna predicted,"£50k–£59,999",Rest of UK,,,2026-08-13
5840324089,Lead Data Analyst/Project Controller,BAE Systems,"Penwortham, Preston",Data Analyst,Lead / Principal,2026-08-13 15:06:21,53416.18,53416.18,53416.18,1,Adzuna predicted,"£50k–£59,999",Rest of UK,,,2026-08-13
5840324100,Lead Data Analyst/Project Controller,BAE Systems,"Samlesbury, Preston",Data Analyst,Lead / Principal,2026-08-13 15:06:21,63011.66,63011.66,63011.66,1,Adzuna predicted,"£60k–£79,999",Rest of UK,,,2026-08-13
5835920078,Data Analyst,VANRATH,"Antrim, County Antrim",Data Analyst,Unspecified,2026-08-10 20:53:51,40000.0,40000.0,40000.0,0,Advertised / non-predicted,"£40k–£49,999",Rest of UK,,,2026-08-10
5829131501,Data Analyst,MCS Group,"Banbridge, County Down",Data Analyst,Unspecified,2026-08-05 15:10:55,30000.0,30000.0,30000.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,,,2026-08-05
5823507727,Data Analyst,Ofcom,"Belfast, Northern Ireland",Data Analyst,Unspecified,2026-08-01 08:33:20,26645.01,26645.01,26645.01,1,Adzuna predicted,Under £30k,Rest of UK,permanent,part_time,2026-08-01
5818756002,Master Data Analyst,MCS Group,"Belfast, Northern Ireland",Data Analyst,Unspecified,2026-07-28 21:04:53,40000.0,40000.0,40000.0,0,Advertised / non-predicted,"£40k–£49,999",Rest of UK,,,2026-07-28
5818755973,Data Analyst - Manufacturing,VANRATH,"Banbridge, County Down",Data Analyst,Unspecified,2026-07-28 21:04:53,30000.0,30000.0,30000.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,permanent,,2026-07-28
5840658196,Lead Data Analyst/Project Controller,BAE Systems,UK,Data Analyst,Lead / Principal,2026-08-13 21:23:17,56400.93,56400.93,56400.93,1,Adzuna predicted,"£50k–£59,999",UK-wide / Unspecified,,,2026-08-13
5812354048,Data Analyst,Sellick Partnership,"Newcastle Upon Tyne, Tyne & Wear",Data Analyst,Unspecified,2026-07-23 14:28:08,46500.0,46500.0,46500.0,0,Advertised / non-predicted,"£40k–£49,999",Rest of UK,permanent,full_time,2026-07-23
5829374055,Data Analyst,red recruitment,"Bristol, South West England",Data Analyst,Unspecified,2026-08-05 19:21:02,31200.0,31200.0,31200.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,permanent,,2026-08-05
5837169823,Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",Data Analyst,Unspecified,2026-08-11 21:47:33,45000.0,55000.0,50000.0,0,Advertised / non-predicted,"£50k–£59,999",London,contract,,2026-08-11
5840637955,Data Analyst,Rise Technical Recruitment Limited,"Plymouth, South West England",Data Analyst,Unspecified,2026-08-13 19:57:40,36000.0,36000.0,36000.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,permanent,full_time,2026-08-13
5837507055,Data Analyst,Consula Group LTD,"Manchester, Greater Manchester",Data Analyst,Unspecified,2026-08-12 01:49:56,65000.0,90000.0,77500.0,0,Advertised / non-predicted,"£60k–£79,999",Rest of UK,permanent,full_time,2026-08-12
5818222177,Data Analyst (AI Training),OneForma,"Furzedown, South West London",Data Analyst,Unspecified,2026-07-28 10:34:58,22880.0,22880.0,22880.0,0,Advertised / non-predicted,Under £30k,London,permanent,part_time,2026-07-28
5838624947,Senior Data Analyst,Tenth Revolution Group,"London, UK",Data Analyst,Senior,2026-08-12 17:54:15,45000.0,55000.0,50000.0,0,Advertised / non-predicted,"£50k–£59,999",London,permanent,full_time,2026-08-12
5848192542,Junior Data Analyst,Terberg DTS  Ltd,"Elland, West Yorkshire",Data Analyst,Junior,2026-08-19 14:59:07,29490.41,29490.41,29490.41,1,Adzuna predicted,Under £30k,Rest of UK,permanent,full_time,2026-08-19
5819806247,Trainee Data Analyst,Recruitment Solutions,"Westerham, Kent",Data Analyst,Entry / Trainee,2026-07-29 14:55:46,27000.0,27000.0,27000.0,0,Advertised / non-predicted,Under £30k,Rest of UK,permanent,full_time,2026-07-29
5817690833,IT & Data Analyst,MSA Data Analytics Ltd,"Leicestershire, East Midlands",Data Analyst,Unspecified,2026-07-27 22:46:04,29000.0,36000.0,32500.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,permanent,full_time,2026-07-27
5847344242,Senior Data Analyst,FDM Group,"London, UK",Data Analyst,Senior,2026-08-18 22:58:22,48177.81,48177.81,48177.81,1,Adzuna predicted,"£40k–£49,999",London,permanent,full_time,2026-08-18
5840332917,Client Data Analyst 1 - 12 Month FTC,TP ICAP Group Services Ltd,"Belfast, Northern Ireland",Data Analyst,Unspecified,2026-08-13 15:18:15,53861.27,53861.27,53861.27,1,Adzuna predicted,"£50k–£59,999",Rest of UK,contract,,2026-08-13
5845200532,Data Analyst- Supply Chain,Sanderson,"Hampshire, South East England",Data Analyst,Unspecified,2026-08-17 14:46:10,130000.0,143000.0,136500.0,0,Advertised / non-predicted,£100k+,Rest of UK,contract,,2026-08-17
5840288188,Retail Media Data Analyst,Harnham - Data & Analytics Recruitment,"Southampton, Hampshire",Data Analyst,Unspecified,2026-08-13 14:02:25,40000.0,50000.0,45000.0,0,Advertised / non-predicted,"£40k–£49,999",Rest of UK,permanent,full_time,2026-08-13
5838678328,"Data Analyst to join their Data, Intelligence & Analytics team",McCabe & Barton,"London, UK",Data Analyst,Unspecified,2026-08-12 19:55:47,75814.14,75814.14,75814.14,1,Adzuna predicted,"£60k–£79,999",London,,full_time,2026-08-12
5829393076,Data Analyst,Red Recruitment,"Redcliffe, Bristol",Data Analyst,Unspecified,2026-08-05 20:50:33,,31200.0,31200.0,0,Advertised / non-predicted,"£30k–£39,999",Rest of UK,contract,full_time,2026-08-05
5812149921,Data Analyst,MONY Group,"London, UK",Data Analyst,Unspecified,2026-07-23 10:51:55,45181.41,45181.41,45181.41,1,Adzuna predicted,"£40k–£49,999",London,,full_time,2026-07-23
5838674911,Data Analyst,Kingdom Security,"Whiteley, Fareham",Data Analyst,Unspecified,2026-08-12 19:37:45,43000.0,44000.0,43500.0,0,Advertised / non-predicted,"£40k–£49,999",Rest of UK,,,2026-08-12
5840648792,Data Analyst,Experis UK,"London, UK",Data Analyst,Unspecified,2026-08-13 20:57:17,44228.03,44228.03,44228.03,1,Adzuna predicted,"£40k–£49,999",London,,full_time,2026-08-13
5837119381,Data Analyst,Proman,"Willington, Derby",Data Analyst,Unspecified,2026-08-11 19:35:04,27000.0,30000.0,28500.0,0,Advertised / non-predicted,Under £30k,Rest of UK,,full_time,2026-08-11
5841480237,Data Analyst,Sportradar,"London, UK",Data Analyst,Unspecified,2026-08-14 08:57:49,53957.82,53957.82,53957.82,1,Adzuna predicted,"£50k–£59,999",London,,,2026-08-14
5837583637,Data Analyst,Connect2Hackney,"Hackney, East London",Data Analyst,Unspecified,2026-08-12 02:56:10,98800.0,104000.0,101400.0,0,Advertised / non-predicted,£100k+,London,,full_time,2026-08-12
5737508609,Data Analyst,Solirius Reply,"London, UK",Data Analyst,Unspecified,2026-05-22 11:06:12,40000.0,85000.0,62500.0,0,Advertised / non-predicted,"£60k–£79,999",London,,full_time,2026-05-22
5845316773,Data Analyst,Hulcan,"London, UK",Data Analyst,Unspecified,2026-08-17 16:58:53,50452.18,50452.18,50452.18,1,Adzuna predicted,"£50k–£59,999",London,,full_time,2026-08-17
